track,artist,album,popularity,loudness,danceability
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis, Tyler, The Creator, Bootsy Collins",Isolation,82,1otG6j1WHNvl9WgXLWkHTo
Kiss Me More (feat. SZA),"Doja Cat, SZA",Kiss Me More (feat. SZA),50,748mdHapucXQri7IAO8yFK
Woman,Doja Cat,Planet Her,83,6Uj1ctrBOjOas8xZXGqKk4
Paint The Town Red,Doja Cat,Scarlet,77,56y1jOTK0XSvJzVv9vHQBK
Nice to Meet You,Imagine Dragons,Nice to Meet You,4,7sxb5C2mE0l5xfSL9M2hxQ
i like the way you kiss me,Artemas,i like the way you kiss me,84,2GxrNKugF82CnoRFbQfzPf
Bongo Cha Cha Cha,Goodboys,Bongo Cha Cha Cha,59,7J4zszAZxAyowZp7gNUIUI
Hipcats,"ATFC, David Penn",Hipcats,49,38HvJkH21S2bRciZHohv68
You've Got Me Where You Want Me,Bakermat,The Spirit,43,1SrBzl0mFMatzMv3bzGnvu
The Time (Dirty Bit),Black Eyed Peas,The Beginning (Deluxe),74,7vWFaMq63AwkFDhS2OAg5u
Greek Tragedy - Oliver Nelson TikTok Remix,"The Wombats, Oliver Nelson",Greek Tragedy (Oliver Nelson TikTok Remix),63,64rqvMhAPLLEag310IG3z9
Out of My League,Fitz and The Tantrums,More Than Just a Dream (Deluxe Edition),76,2AYEOC02WLhUiOoaig2SEH
Perfect (Exceeder),"Mason, Princess Superstar",Perfect (Exceeder),68,0whmIaItqkT8e5PVuPyhvT
Lost In Space,Foster The People,Lost In Space,51,1PIBxfR4k67snh0hUSgzPs
Pumped Up Kicks,Foster The People,Torches,86,7w87IxuO7BDcJ3YUqCyMTT
Please Please Please,Sabrina Carpenter,Please Please Please,85,5N3hjp1WNayUPZrA8kJmJP
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,99,6dOtVTDdiauQNBQEDOtlAB
Sure,Hatchie,Sugar & Spice,34,3zdTA309WHMFZo1l6IAiPu
Space Train,"Kevin D'Angello, Kevin D",Space Train,58,4eVXJrgK3AXU0IgujAgEjB
Hawaiian Roller Coaster Ride,"Mark Keali'i Ho'omalu, Kamehameha Schools Children's Chorus",Lilo And Stitch Original Soundtrack,57,6pO5svQbrKKLZS08tIiEUA
talk every night,dyl dion,talk every night,41,0jmBNbkOd3Bi2Te4LXDWOm
So Light Is Her Footfall,Air,Love 2,26,40t1n9Ay1yvcxj7rQD5Pta
Tease Me,Nicky Youre,Tease Me,37,2zd9veJ3ELc1OBTbscFx7b
Wait a Minute!,WILLOW,ARDIPITHECUS,79,0y60itmpH0aPKsFiGxmtnh
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",THE ANXIETY,74,07MDkzWARZaLEdKxo6yArG
Where'd All the Time Go?,Dr. Dog,"Shame, Shame (Deluxe Edition)",80,0UV5zxRMz6AO4ZwUOZNIKI
missin something,Zach Templar,orange blood,71,790xAaylcgzyKm40GM95Gl
i'm yours,Isabel LaRosa,i'm yours,80,37vVp2sWHuuIBOSl1NswP6
Molly,James Smith,Molly,34,2RZpKyNqAwoXfXtu5AuSKT
Spite,Omar Apollo,God Said No,50,1yMkrQypE7sGZrd2ZlSmRA
Lost Ocean,thenightsky,Lost Ocean,15,2iGt8G5mB5c1CydFKFmKAm
The Drive In,Jonathan Plevyak,The Drive In,36,0P5vPj2sxCaRTFYomyIBls
Stories,Ballad,Stories,13,6OoGCgh3M5AI8Pp370fnLE
SaveThesePills!,club hearts,SaveThesePills!,19,0pu6ixhAh8eKsWWm65xsue
sweet things,club hearts,sweet things,17,7hDbOwJBqDH3FH1ZB5fYLu
Vanille fraise,L'Impératrice,Vanille fraise,68,7nZ9CzhiFRPhOQCn7eDSnn
Amour Ex Machina,L'Impératrice,Pulsar,47,4ltd62ynuUWoZza9cSSljg
Bougainvilleas,Tyler Dial,Bougainvilleas,17,7q7u29pflLyGokbGrVuq1d
Colours of Blue,"Riva Taylor, Ervin River",Colours of Blue,21,6IsXoRDwJjZRkIVonrRygf
Horseshoes & Hand Grenades,Cody Belew,Horseshoes & Hand Grenades,25,5RCwiibiBiZ20cYSnotKKv
"Everything, Nothing",Late Again,"Everything, Nothing",37,3LLhwa3vzi6JfVmfNWwrpv
Show Me How,Men I Trust,Show Me How,82,75IQVo8hqI1iwVZyvkN2VT
Oncle Jazz,Men I Trust,Oncle Jazz,63,204t5SErksNRHRhU52g5JF
Sexy to Someone,Clairo,Sexy to Someone,65,2Nq4SFbvYYZa8AF7lD7CWU
Flaming Hot Cheetos,Clairo,Flaming Hot Cheetos,75,1F6IbA7di42uPc3cff8PXV
Llanto y Canto Por Juan Preciado,Manuel Polin,Llanto y Canto Por Juan Preciado,22,1eNaw207b6PjVziaFLO2EX
